Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL5593592,,None,382.49,0,4.65,5m,CC(C)(C)c1ccc(S(=O)(=O)NC(=O)Nc2cccc3ccccc23)cc1,IC50,'=',5854,nM,5.23,,,UO_0000065,13.68,0.26,0.58,6.95,0,CHEMBL5580140,Inhibition of NLRP3 in human THP-1 cells assessed as inhibition of LPS/nigericin-induced caspase-1 activation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5579797,1,Scientific Literature,Bioorg Med Chem Lett,2024,None,,INHIBITOR,,5.854
CHEMBL4802424,,None,346.41,0,2.77,2,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,IC50,'=',440,nM,6.36,,,UO_0000065,18.35,0.36,3.59,7.19,0,CHEMBL5217806,Inhibition of NLRP3 inflammasome activation in LPS and nigericin-stimulated human PBMC cells assessed as reduction in IL-1beta release preincubated with LPS for 3 hrs followed by compound addition for 30 mins and further stimulated with nigericin for 1.5 hrs by ELISA analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,PBMC,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5214989,1,Scientific Literature,J Med Chem,2022,None,TIME = 2.0 hr,INHIBITOR,,0.44
CHEMBL5220827,,None,360.44,0,1.91,11,Cn1nccc1S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,IC50,'=',2550,nM,5.59,,,UO_0000065,15.52,0.31,3.68,6.01,0,CHEMBL5217806,Inhibition of NLRP3 inflammasome activation in LPS and nigericin-stimulated human PBMC cells assessed as reduction in IL-1beta release preincubated with LPS for 3 hrs followed by compound addition for 30 mins and further stimulated with nigericin for 1.5 hrs by ELISA analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,PBMC,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5214989,1,Scientific Literature,J Med Chem,2022,None,TIME = 2.0 hr,INHIBITOR,,2.55
CHEMBL5219660,JT-001,3.0,402.48,0,2.15,17,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,IC50,'=',1210,nM,5.92,,,UO_0000065,14.7,0.29,3.77,5.78,0,CHEMBL5217807,Inhibition of NLRP3 inflammasome activation in LPS and ATP-stimulated human whole blood assessed as reduction in IL-1beta release in plasma preincubated for 3 hrs followed by ATP stimulation and measured after 1 hr,B,BAO_0000221,tissue-based format,Homo sapiens,None,Blood,None,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5214989,1,Scientific Literature,J Med Chem,2022,None,TIME = 4.0 hr,INHIBITOR,,1.21
CHEMBL5219789,,None,431.52,0,1.35,20; GDC-2394,CN[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,IC50,'=',400,nM,6.4,,,UO_0000065,14.83,0.29,5.05,5.6,0,CHEMBL5217807,Inhibition of NLRP3 inflammasome activation in LPS and ATP-stimulated human whole blood assessed as reduction in IL-1beta release in plasma preincubated for 3 hrs followed by ATP stimulation and measured after 1 hr,B,BAO_0000221,tissue-based format,Homo sapiens,None,Blood,None,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5214989,1,Scientific Literature,J Med Chem,2022,None,TIME = 4.0 hr,INHIBITOR,,0.4
CHEMBL5412116,,None,461.33,0,4.63,L23,CC(C)c1nn(Cc2nnc(-c3cnccc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12,IC50,'=',500,nM,6.3,,,UO_0000065,13.66,0.29,1.67,6.92,0,CHEMBL5369907,Inhibition of NLRP3 inflammasome in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin-induced IL-1 beta secretion pretreated with LPS for 3 hrs followed by incubation with compound for 40 mins and later stimulated with nigericin for 35 mins by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5365532,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.25 hr,INHIBITOR,,0.5
CHEMBL5424780,,None,383.45,0,2.93,Example 1,CCN1CCC[C@@H](Nc2cc(C)c(-c3ccc(C#N)cc3O)nn2)C1.O=CO,IC50,'=',3.2,nM,8.49,,,UO_0000065,25.18,0.46,5.56,9.99,0,CHEMBL5365232,Inhibition of NLRP3 in human whole blood assessed as reduction in IL-1beta release preincubated with compound for 3 hrs followed by nigericin stimulation and measured after 1 hrs by AlphaLISA assay,B,BAO_0000221,tissue-based format,Homo sapiens,None,Blood,None,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5360659,1,Scientific Literature,ACS Med Chem Lett,2023,None,TIME = 4.0 hr,INHIBITOR,,3.2
CHEMBL5400478,,None,349.44,0,2.56,Example 7b,Cc1cc(N2CC[C@H]3CCN(C)C[C@H]32)nnc1-c1ccc(C#N)cc1O,IC50,'=',5.6,nM,8.25,,,UO_0000065,23.61,0.43,5.69,10.82,0,CHEMBL5365232,Inhibition of NLRP3 in human whole blood assessed as reduction in IL-1beta release preincubated with compound for 3 hrs followed by nigericin stimulation and measured after 1 hrs by AlphaLISA assay,B,BAO_0000221,tissue-based format,Homo sapiens,None,Blood,None,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5360659,1,Scientific Literature,ACS Med Chem Lett,2023,None,TIME = 4.0 hr,INHIBITOR,,5.6
CHEMBL4229108,,None,310.31,0,3.42,7f,COc1ccccc1C(=O)O/N=C(\C)c1nc2ccccc2o1,IC50,'=',39470,nM,4.4,,,UO_0000065,14.19,0.26,0.98,5.96,0,CHEMBL4221123,Inhibition of NLRP3 inflammasome in human THP1 cells assessed as reduction in MSU-induced IL-1beta production preincubated for 1 hr followed by MSU stimulation measured after 6 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4219086,1,Scientific Literature,Bioorg Med Chem,2018,None,,,,39.47
CHEMBL5188246,,None,509.59,1,3.08,7e,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(N2CC3CCC(C2)O3)c2nonc12,IC50,'=',243,nM,6.61,,,UO_0000065,12.98,0.25,3.53,5.22,0,CHEMBL5122649,Inhibition of NLRP3 inflammasome activation in PMA differentiated LPS-primed human THP-1 cells assessed as reduction in nigericin-induced IL-1beta level pretreated for 2 hrs followed by nigericin addition and measured after 30 mins by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5120824,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 2.5 hr,INHIBITOR,,0.243
CHEMBL5440398,,None,419.89,0,3.42,L16,CC(C)c1nn(Cc2nnc(C3CCOC3)o2)c(=O)c2cc3sc(Cl)cc3n12,IC50,'=',370,nM,6.43,,,UO_0000065,15.32,0.31,3.01,7.35,0,CHEMBL5369907,Inhibition of NLRP3 inflammasome in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin-induced IL-1 beta secretion pretreated with LPS for 3 hrs followed by incubation with compound for 40 mins and later stimulated with nigericin for 35 mins by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5365532,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.25 hr,INHIBITOR,,0.37
CHEMBL5409543,,None,461.33,0,4.63,L25,CC(C)c1nn(Cc2nnc(-c3ccncc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12,IC50,'=',700,nM,6.16,,,UO_0000065,13.34,0.28,1.52,6.76,0,CHEMBL5369907,Inhibition of NLRP3 inflammasome in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin-induced IL-1 beta secretion pretreated with LPS for 3 hrs followed by incubation with compound for 40 mins and later stimulated with nigericin for 35 mins by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5365532,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.25 hr,INHIBITOR,,0.7
CHEMBL5416002,,None,349.44,0,2.56,Example 5a,Cc1cc(C#N)cc(O)c1-c1ccc(N2CC[C@H]3CCN(C)C[C@H]32)nn1,IC50,'=',1.2,nM,8.92,,,UO_0000065,25.53,0.47,6.36,11.69,0,CHEMBL5365231,Inhibition of NLRP3 in human THP-1 cells assessed as reduction in pyroptosis preincubated with compound for 3 hrs followed by nigericin stimulation and measured after 1 hrs by resazurin dye based plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5360659,1,Scientific Literature,ACS Med Chem Lett,2023,None,TIME = 4.0 hr,INHIBITOR,,1.2
CHEMBL5427865,,None,435.52,0,4.1,32,O=C(Nc1c2c(cc3c1CCC3)CCC2)O[C@H](Cc1ncccn1)C(=O)OC1CCCC1,IC50,'=',0.62,nM,9.21,,,UO_0000065,21.14,0.39,5.11,10.18,0,CHEMBL5374758,Inhibition of NLRP3 inflammasome activation in LPS-activated human PBMC cells assessed as inhibition of ATP/nigericin induced IL-1beta secretion preincubated with LPS for 3 hrs followed by compound addition for 30 mins and further stimulated with ATP for 1 hr by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,PBMC,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5370650,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.5 hr,INHIBITOR,,0.62
CHEMBL5595175,,None,496.01,0,2.06,Z11,N#CCCS(=O)(=O)C/C(=C\c1ccc(Cl)cc1)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,IC50,'=',4420,nM,5.36,,,UO_0000065,10.8,0.23,3.29,3.64,0,CHEMBL5583272,Inhibition of NLRP3 in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin induced IL-1beta production by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5579897,1,Scientific Literature,J Med Chem,2024,None,,INHIBITOR,,4.42
CHEMBL5591774,,None,461.38,0,3.52,Z25,N#CCCS(=O)(=O)C/C(=C\c1cccc(Br)c1)C(=O)NCCc1ccccc1,IC50,'=',5190,nM,5.29,,,UO_0000065,11.45,0.26,1.76,6.07,0,CHEMBL5583272,Inhibition of NLRP3 in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin induced IL-1beta production by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,THP-1,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL5579897,1,Scientific Literature,J Med Chem,2024,None,,INHIBITOR,,5.19
CHEMBL4126946,,None,146.14,0,-1.3,6,O=C1CO[C@H](CO)[C@@H](O)C1,IC50,'=',2300000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4125669,Inhibition of nigericin-induced NLRP3 inflammasome activation in PMA-differentiated human THP1 cells assessed as reduction in LPS-stimulated IL-1beta secretion incubated for 1 hr prior to stimulation with nigericin for 1 hr by quanti-blue based SEAP reporter gene assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4118290,1,Scientific Literature,Bioorg Med Chem,2018,None,,,,2300
